136, 136,  136, 66.671, 147.272, 63.404, 179.412, 179.412, 2019/01/18 16:10:13
138, 121,  121, 67.385, 145.033, 71.215, 179.413, 179.413, 2019/01/18 16:10:18
139, 138,  138, 66.673, 145.638, 68.217, 181.543, 181.543, 2019/01/18 16:10:23
132, 131,  131, 67.474, 149.840, 73.412, 174.550, 174.550, 2019/01/18 16:10:28
124, 116,  116, 65.428, 141.431, 49.431, 187.810, 187.810, 2019/01/18 16:10:33
133, 113,  113, 65.385, 136.071, 55.301, 191.389, 191.389, 2019/01/18 16:10:38
141, 111,  111, 65.166, 133.775, 53.991, 193.072, 193.072, 2019/01/18 16:10:44
134, 127,  127, 65.386, 136.480, 53.535, 193.299, 193.299, 2019/01/18 16:10:49
128, 119,  119, 65.070, 139.294, 56.714, 189.445, 189.445, 2019/01/18 16:10:54
124, 118,  118, 65.206, 140.263, 56.042, 189.229, 189.229, 2019/01/18 16:10:59
132, 107,  107, 64.934, 140.393, 56.037, 189.336, 189.336, 2019/01/18 16:11:04
127, 125,  125, 64.899, 145.656, 58.960, 183.320, 183.320, 2019/01/18 16:11:09
