197, 125, 71, 71
197, 123, 73, 73
197, 125, 71, 71
197, 125, 72, 72
196, 125, 72, 72
197, 125, 71, 71
197, 125, 71, 71
197, 125, 71, 71
197, 125, 71, 71
197, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
197, 125, 71, 71
197, 124, 73, 73
197, 124, 73, 73
197, 124, 73, 73
196, 124, 74, 74
196, 125, 71, 71
197, 125, 72, 72
197, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
196, 125, 72, 72
197, 125, 71, 71
197, 125, 71, 71
197, 125, 71, 71
196, 124, 73, 73
197, 125, 71, 71
196, 125, 72, 72
197, 125, 71, 71
197, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
197, 125, 71, 71
196, 125, 71, 71
197, 124, 73, 73
197, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
197, 125, 71, 71
196, 125, 71, 71
196, 124, 73, 73
196, 125, 72, 72
196, 125, 71, 71
198, 125, 71, 71
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
197, 125, 71, 71
197, 125, 71, 71
197, 125, 72, 72
196, 124, 73, 73
197, 124, 73, 73
196, 124, 74, 74
195, 123, 74, 74
195, 124, 73, 73
196, 124, 73, 73
195, 122, 75, 75
196, 124, 73, 73
196, 122, 75, 75
196, 124, 73, 73
196, 124, 73, 73
196, 125, 72, 72
197, 125, 72, 72
197, 125, 72, 72
196, 124, 73, 73
196, 124, 73, 73
197, 125, 71, 71
197, 125, 71, 71
196, 125, 72, 72
197, 125, 72, 72
198, 125, 71, 71
198, 125, 71, 71
198, 125, 72, 72
198, 125, 72, 72
195, 124, 74, 74
198, 125, 72, 72
198, 125, 71, 71
198, 125, 72, 72
198, 125, 71, 71
197, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 74, 74
197, 125, 72, 72
196, 124, 73, 73
198, 125, 72, 72
198, 125, 69, 69
197, 124, 71, 71
198, 125, 72, 72
196, 124, 73, 73
198, 125, 71, 71
198, 125, 71, 71
197, 125, 72, 72
198, 125, 71, 71
197, 125, 71, 71
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
198, 125, 72, 72
197, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
197, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
198, 125, 71, 71
196, 124, 73, 73
198, 124, 71, 71
197, 124, 73, 73
198, 125, 71, 71
197, 124, 73, 73
196, 124, 73, 73
197, 124, 73, 73
198, 125, 71, 71
198, 125, 71, 71
197, 124, 73, 73
197, 124, 73, 73
197, 124, 73, 73
196, 124, 73, 73
198, 125, 71, 71
198, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
198, 125, 72, 72
198, 125, 72, 72
198, 125, 71, 71
197, 124, 73, 73
198, 125, 72, 72
198, 125, 72, 72
197, 125, 71, 71
198, 125, 71, 71
197, 125, 72, 72
197, 124, 72, 72
198, 126, 69, 69
199, 124, 71, 71
198, 125, 71, 71
200, 126, 69, 69
200, 126, 69, 69
200, 126, 69, 69
199, 124, 71, 71
197, 124, 72, 72
199, 125, 69, 69
197, 124, 73, 73
197, 125, 72, 72
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 123, 73, 73
196, 124, 73, 73
196, 124, 73, 73
197, 124, 73, 73
196, 124, 74, 74
197, 125, 72, 72
196, 124, 74, 74
195, 122, 76, 76
196, 123, 74, 74
195, 122, 76, 76
196, 122, 75, 75
196, 122, 75, 75
195, 122, 76, 76
197, 123, 74, 74
194, 123, 76, 76
196, 124, 74, 74
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
194, 122, 77, 77
194, 123, 75, 75
196, 124, 74, 74
196, 124, 73, 73
196, 124, 73, 73
196, 124, 73, 73
196, 125, 72, 72
197, 124, 73, 73
198, 125, 71, 71
198, 125, 71, 71
197, 125, 71, 71
198, 125, 71, 71
198, 125, 72, 72
198, 125, 71, 71
197, 125, 71, 71
198, 125, 72, 72
197, 125, 71, 71
198, 125, 71, 71
198, 125, 71, 71
197, 124, 73, 73
198, 125, 71, 71
199, 126, 69, 69
198, 125, 71, 71
197, 124, 73, 73
197, 123, 73, 73
