192, 130, 151, 151
188, 129, 151, 151
200, 135, 140, 140
190, 131, 152, 152
191, 129, 156, 156
194, 131, 151, 151
196, 131, 151, 151
189, 128, 157, 157
192, 131, 151, 151
194, 132, 151, 151
191, 133, 151, 151
195, 132, 151, 151
194, 132, 151, 151
195, 132, 151, 151
189, 129, 157, 157
192, 133, 151, 151
197, 135, 139, 139
191, 132, 141, 141
186, 130, 146, 146
186, 127, 148, 148
180, 124, 158, 158
180, 128, 138, 138
176, 123, 142, 142
170, 124, 144, 144
174, 125, 134, 134
170, 127, 134, 134
168, 129, 130, 130
167, 125, 135, 135
170, 128, 130, 130
170, 127, 130, 130
170, 118, 142, 142
173, 116, 144, 144
178, 120, 137, 137
178, 112, 146, 146
187, 113, 139, 139
192, 113, 139, 139
197, 114, 141, 141
197, 112, 155, 155
204, 116, 148, 148
217, 121, 142, 142
218, 119, 146, 146
217, 117, 151, 151
184, 119, 141, 141
181, 119, 139, 139
173, 115, 141, 141
168, 107, 151, 151
173, 113, 145, 145
172, 109, 151, 151
178, 118, 140, 140
178, 116, 144, 144
